Level1
Portal,35.0,10.0
Heart,-18.0,11.999998
Coin,-35.0,10.0
Coin,7.0,8.0
BugMinion,24.62623,7.4449987,6,0,12.0,15.0,8.0,
BugMinion,37.935234,-12.055001,7,1,0.0,38.0,-12.0,
BugMinion,-15.682526,12.448139,4,0,3.0,-15.0,13.0,
BugMinion,-21.170448,-2.555,1,0,12.0,-20.0,-2.0,
BugMinion,-16.54458,-2.5550003,4,1,8.0,-10.0,-2.0,
BugMinion,6.9994555,-2.555,5,0,0.0,7.0,-2.0,
BugMinion,34.117268,-2.555,7,1,6.0,33.0,-3.0,
BugMinion,9.506531,-7.555001,3,1,3.0,10.0,-7.0,
BugMinion,-5.0,-12.055001,6,0,0.0,-5.0,-12.0,
Hero,-33.5039,1.5008655,9,10,1,6,0,true,false,0,7.9537536E-8,-1.9599999,6223,
