Level1
Portal,35.0,10.0
Heart,-9.0,10.0
Heart,-18.0,11.999999
Coin,-15.0,-3.0
Coin,-10.0,12.0
Coin,-35.0,10.0
Coin,-35.0,3.0
Coin,33.0,3.0
Coin,7.0,8.0
BugMinion,17.98809,7.4449987,3,0,12.0,15.0,8.0,
BugMinion,-15.732478,12.450796,4,0,3.0,-15.0,13.0,
BugMinion,-27.3029,-2.5550003,1,0,12.0,-20.0,-2.0,
BugMinion,-6.554591,-2.555,4,1,8.0,-10.0,-2.0,
BugMinion,6.9994555,-2.555,5,0,0.0,7.0,-2.0,
BugMinion,33.27675,-2.555,7,1,6.0,33.0,-3.0,
BugMinion,12.770603,-7.555001,3,0,3.0,10.0,-7.0,
BugMinion,-5.0,-12.055001,6,0,0.0,-5.0,-12.0,
BugMinion,-26.824884,-12.055001,2,1,13.0,-20.0,-12.0,
Hero,37.689373,-9.477285,3,10,1,2,0,false,false,0,1.7066766,-3.111564,3819,
